,symbol,timestamp,open,high,low,close,volume
0,TSLA,2023-01-03 09:00:00+00:00,120.02,121.23,115.94,118.52,1306706.0
1,TSLA,2023-01-03 10:00:00+00:00,118.53,120.5,118.2,120.38,568635.0
2,TSLA,2023-01-03 11:00:00+00:00,120.28,120.5,117.95,118.61,547403.0
3,TSLA,2023-01-03 12:00:00+00:00,118.63,118.99,116.61,118.28,1529445.0
4,TSLA,2023-01-03 13:00:00+00:00,118.32,121.9,116.61,118.93,2886437.0
5,TSLA,2023-01-03 14:00:00+00:00,118.82,119.51,111.61,111.63,39383903.0
6,TSLA,2023-01-03 15:00:00+00:00,111.65,112.31,110.26,110.9106,36428393.0
7,TSLA,2023-01-03 16:00:00+00:00,110.9123,111.03,105.6,106.7071,38355702.0
8,TSLA,2023-01-03 17:00:00+00:00,106.705,107.3287,104.79,105.53,26375486.0
9,TSLA,2023-01-03 18:00:00+00:00,105.54,106.72,104.64,106.4799,22599721.0
10,TSLA,2023-01-03 19:00:00+00:00,106.4877,109.4,106.0,108.355,27376445.0
11,TSLA,2023-01-03 20:00:00+00:00,108.3527,109.0,107.21,108.055,29313487.0
12,TSLA,2023-01-03 21:00:00+00:00,108.1,108.15,107.8,107.92,7876114.0
13,TSLA,2023-01-03 22:00:00+00:00,107.9,108.01,107.8,107.84,362536.0
14,TSLA,2023-01-03 23:00:00+00:00,107.81,107.97,107.13,107.27,403189.0
15,TSLA,2023-01-04 00:00:00+00:00,107.27,107.5,107.0,107.0,412037.0
16,TSLA,2023-01-04 09:00:00+00:00,108.88,109.9,107.33,109.65,693072.0
17,TSLA,2023-01-04 10:00:00+00:00,109.61,110.49,109.3,110.07,393721.0
18,TSLA,2023-01-04 11:00:00+00:00,110.09,110.33,109.51,109.52,216755.0
19,TSLA,2023-01-04 12:00:00+00:00,109.51,109.75,108.73,109.61,864822.0
20,TSLA,2023-01-04 13:00:00+00:00,109.46,110.2415,107.3715,108.85,1734568.0
21,TSLA,2023-01-04 14:00:00+00:00,108.84,112.74,107.28,109.64,36588167.0
22,TSLA,2023-01-04 15:00:00+00:00,109.58,112.44,107.8201,111.9,35238763.0
23,TSLA,2023-01-04 16:00:00+00:00,111.92,114.59,110.66,113.18,28412174.0
24,TSLA,2023-01-04 17:00:00+00:00,113.19,113.36,111.43,111.7299,16664240.0
25,TSLA,2023-01-04 18:00:00+00:00,111.7335,114.0923,111.56,113.6011,15658627.0
26,TSLA,2023-01-04 19:00:00+00:00,113.521,114.3,111.84,113.61,23036089.0
27,TSLA,2023-01-04 20:00:00+00:00,113.61,113.85,112.25,113.64,17846997.0
28,TSLA,2023-01-04 21:00:00+00:00,113.56,113.72,112.91,112.95,5585426.0
29,TSLA,2023-01-04 22:00:00+00:00,112.95,113.48,112.95,113.3,241484.0
30,TSLA,2023-01-04 23:00:00+00:00,113.28,113.7,113.18,113.54,215309.0
31,TSLA,2023-01-05 00:00:00+00:00,113.55,113.69,113.34,113.66,248099.0
32,TSLA,2023-01-05 09:00:00+00:00,112.5,113.28,112.35,112.63,282041.0
33,TSLA,2023-01-05 10:00:00+00:00,112.54,114.38,112.5,113.92,187730.0
34,TSLA,2023-01-05 11:00:00+00:00,113.95,114.7,113.85,114.0,178509.0
35,TSLA,2023-01-05 12:00:00+00:00,114.1,114.85,113.9,114.25,457700.0
36,TSLA,2023-01-05 13:00:00+00:00,114.15,114.87,111.09,111.3,3418454.0
37,TSLA,2023-01-05 14:00:00+00:00,111.36,111.4,107.44,108.64,28433610.0
38,TSLA,2023-01-05 15:00:00+00:00,108.64,110.15,107.1601,107.93,30846687.0
39,TSLA,2023-01-05 16:00:00+00:00,107.9345,110.47,107.682,110.3713,20982679.0
40,TSLA,2023-01-05 17:00:00+00:00,110.38,110.52,109.21,109.75,16201151.0
41,TSLA,2023-01-05 18:00:00+00:00,109.75,111.75,109.51,110.69,20607338.0
42,TSLA,2023-01-05 19:00:00+00:00,110.72,111.3299,109.97,110.805,17439689.0
43,TSLA,2023-01-05 20:00:00+00:00,110.8093,111.2,110.06,110.37,15675212.0
44,TSLA,2023-01-05 21:00:00+00:00,110.34,110.43,110.06,110.32,5657010.0
45,TSLA,2023-01-05 22:00:00+00:00,110.34,110.34,110.02,110.17,252550.0
46,TSLA,2023-01-05 23:00:00+00:00,110.16,110.23,110.1,110.15,91481.0
47,TSLA,2023-01-06 00:00:00+00:00,110.15,110.4,110.15,110.35,187523.0
48,TSLA,2023-01-06 09:00:00+00:00,107.69,109.35,103.25,104.05,1151069.0
49,TSLA,2023-01-06 10:00:00+00:00,104.05,105.4,103.95,104.41,383531.0
50,TSLA,2023-01-06 11:00:00+00:00,104.36,104.93,104.2,104.35,274774.0
51,TSLA,2023-01-06 12:00:00+00:00,104.37,105.22,103.02,103.6,1809736.0
52,TSLA,2023-01-06 13:00:00+00:00,104.75,111.19,101.2,103.1,7994070.0
53,TSLA,2023-01-06 14:00:00+00:00,103.15,107.11,101.81,105.14,43573332.0
54,TSLA,2023-01-06 15:00:00+00:00,105.16,109.27,105.14,108.75,38959920.0
55,TSLA,2023-01-06 16:00:00+00:00,108.75,111.45,107.91,111.3301,27982149.0
56,TSLA,2023-01-06 17:00:00+00:00,111.3573,112.9176,110.64,111.28,29461684.0
57,TSLA,2023-01-06 18:00:00+00:00,111.3,112.04,110.23,111.8819,18238864.0
58,TSLA,2023-01-06 19:00:00+00:00,111.9,114.04,111.57,113.53,22309325.0
59,TSLA,2023-01-06 20:00:00+00:00,113.5218,114.39,112.45,113.02,25722563.0
60,TSLA,2023-01-06 21:00:00+00:00,113.01,113.18,112.87,112.93,6030945.0
61,TSLA,2023-01-06 22:00:00+00:00,112.9,113.09,112.87,113.06,220861.0
62,TSLA,2023-01-09 09:00:00+00:00,114.03,115.98,113.75,115.35,577135.0
63,TSLA,2023-01-09 10:00:00+00:00,115.35,115.35,114.63,114.86,216840.0
64,TSLA,2023-01-09 11:00:00+00:00,114.89,115.38,114.63,115.01,151694.0
65,TSLA,2023-01-09 12:00:00+00:00,115.11,118.14,114.98,117.14,1341266.0
66,TSLA,2023-01-09 13:00:00+00:00,115.1001,118.15,114.48,116.8489,1810956.0
67,TSLA,2023-01-09 14:00:00+00:00,116.8,122.5,116.77,122.4335,40111431.0
68,TSLA,2023-01-09 15:00:00+00:00,122.45,123.33,120.33,121.5,41922277.0
69,TSLA,2023-01-09 16:00:00+00:00,121.5,122.51,120.875,121.8478,21331759.0
70,TSLA,2023-01-09 17:00:00+00:00,121.84,122.6,121.01,122.1523,15544924.0
71,TSLA,2023-01-09 18:00:00+00:00,122.15,123.52,120.72,121.24,21904399.0
72,TSLA,2023-01-09 19:00:00+00:00,121.25,122.01,120.48,120.6001,18347571.0
73,TSLA,2023-01-09 20:00:00+00:00,120.6019,121.01,119.26,119.7999,22332884.0
74,TSLA,2023-01-09 21:00:00+00:00,119.8,121.1868,119.43,119.8721,7822733.0
75,TSLA,2023-01-09 22:00:00+00:00,119.9,120.0895,119.77,119.91,183221.0
76,TSLA,2023-01-09 23:00:00+00:00,119.9281,120.68,119.92,120.3,239156.0
